API #,Well Name,Operator,Status,Production_Info,Well_Type,Closest_City,State_code,County_code,Well_no,County,State,Well_file_no,stimulation_date,stimulated_formation,top_ft,bottom_ft,stages,volume,volumne_units,treatment_type,acid,lbs_prop,max_psi,bbls_min
33-053-06232,Qtr-Qtr ,N/A,N/A,N/A,N/A,N/A,33,053,06232,N/A,N/A,29317,N/A,N/A,8459.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33-105-02726,Atlanta Federal 7-6H ,"CONTINENTAL RESOURCES, INC.",Active,"1.3 k Barrels of Oil Produced in Jul 2023
1.5 k MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston,33,105,02726,Williams,ND,23366,N/A,maximum treatment rate (bbls/min),7186.0,N/A,N/A,40.0,N/A,N/A,N/A,N/A,N/A,4810703.0
33-053-04211,Ash Federal 5300 11-18T ,OASIS PETROLEUM NORTH AMERICA LLC,Active,"264 Barrels of Oil Produced in Jul 2023
170 MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston,33,053,04211,McKenzie,ND,23230,N/A,N/A,8491.0,N/A,92216.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33-053-00605,Kline Federal 5300 31-18 8B ,N/A,N/A,N/A,N/A,N/A,33,053,00605,N/A,N/A,28754,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sand frac,N/A,N/A,N/A,N/A
33-053-06019,Chalmers 5300 21-19 6B ,OASIS PETROLEUM NORTH AMERICA LLC,Active,"553 Barrels of Oil Produced in Jul 2023
3.2 k MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston,33,053,06019,McKenzie,ND,28634,N/A,N/A,8389.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
00-000-20924,DAHL FEDERAL 2-15H ,N/A,N/A,N/A,N/A,N/A,00,000,20924,N/A,N/A,21796,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33-105-02720,Atlanta 13-6H ,"CONTINENTAL RESOURCES, INC.",Active,"258 Barrels of Oil Produced in Jul 2023
471 MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston,33,105,02720,Williams,ND,23360,N/A,da!e' stimulated ,7125.0,N/A,N/A,N/A,N/A,N/A,N/A,7468.0,N/A,26.0
33-053-06243,Kline Federal 5300 11-18 2B ,OASIS PETROLEUM NORTH AMERICA LLC,Active,"391 Barrels of Oil Produced in Jul 2023
1.7 k MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston,33,053,06243,McKenzie,ND,29334,N/A,N/A,8508.0,8507.0,N/A,N/A,N/A,sand frac,N/A,N/A,N/A,N/A
33-053-03911,Spacing Unit Description ,N/A,N/A,N/A,N/A,N/A,33,053,03911,N/A,N/A,22099,2013-08-31 00:00:00,N/A,8366.0,N/A,36.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33-053-05998,Wade Federal 5300 41-30 7T ,OASIS PETROLEUM NORTH AMERICA LLC,Active,"448 Barrels of Oil Produced in Jul 2023
2.2 k MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston,33,053,05998,McKenzie,ND,28557,N/A,N/A,8347.0,8347.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33-053-03413,Wade Federal 5300 21-30H ,OASIS PETROLEUM NORTH AMERICA LLC,Inactive,N/A,Oil & Gas,Williston,33,053,03413,McKenzie,ND,20197,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
00-012-08152,N/A,N/A,N/A,N/A,N/A,N/A,00,012,08152,N/A,N/A,20863,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33-053-06129,Wade Federal 5300 21-30 12T ,OASIS PETROLEUM NORTH AMERICA LLC,Active,"963 Barrels of Oil Produced in Jul 2023
4.7 k MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston,33,053,06129,McKenzie,ND,28976,2015-03-16 00:00:00,maximum treatment pressure (psi) i ,8308.0,N/A,50.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33-053-06024,Chalmers 5300 21-19 11 B ,OASIS PETROLEUM NORTH AMERICA LLC,Active,"109 Barrels of Oil Produced in Jul 2023
2.9 k MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston,33,053,06024,McKenzie,ND,28649,N/A,N/A,8386.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33-053-03911,Larrv 5301 44-128 ,N/A,N/A,N/A,N/A,N/A,33,053,03911,N/A,N/A,22740,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
